Name, Label, Predicted
1_0,0,0
1_1,0,0
1_2,0,0
1_3,0,0
1_4,0,0
1_5,0,0
1_6,0,0
1_7,0,0
1_8,0,0
1_9,0,0
1_10,0,0
1_11,0,0
1_12,0,0
1_13,0,0
1_14,0,0
1_15,0,0
1_16,0,0
1_17,0,0
1_18,0,0
1_19,0,0
1_20,0,0
1_21,0,0
1_22,0,0
1_23,0,0
1_24,0,0
1_25,0,0
1_26,0,0
1_27,0,0
1_28,0,0
1_29,0,0
1_30,0,0
1_31,0,0
1_32,0,0
1_33,0,0
1_34,0,0
1_35,0,0
1_36,0,0
1_37,0,0
1_38,0,0
1_39,0,0
1_40,0,0
1_41,0,0
1_42,0,0
1_43,0,0
1_44,0,0
1_45,0,0
1_46,0,0
1_47,0,0
1_48,0,0
1_49,0,0
1_50,0,0
1_51,0,0
1_52,0,0
1_53,0,0
1_54,0,0
1_55,0,0
1_56,0,0
1_57,0,0
1_58,0,0
1_59,0,0
1_60,0,0
1_61,0,0
1_62,0,0
1_63,0,0
2_0,0,0
2_1,0,0
2_2,0,0
2_3,0,0
2_4,0,0
2_5,0,0
2_6,0,0
2_7,0,0
2_8,0,0
2_9,0,0
2_10,0,0
2_11,0,0
2_12,0,0
2_13,0,0
2_14,0,0
2_15,0,1
2_16,0,0
2_17,0,0
2_18,0,0
2_19,0,0
2_20,0,0
2_21,0,0
2_22,0,0
2_23,0,0
2_24,0,0
2_25,0,0
2_26,0,0
2_27,0,0
2_28,0,0
2_29,0,0
2_30,0,0
2_31,0,0
2_32,0,0
2_33,0,0
2_34,0,0
2_35,0,0
2_36,0,0
2_37,0,0
2_38,0,0
2_39,0,0
2_40,0,0
2_41,0,0
2_42,0,0
2_43,0,0
2_44,0,0
2_45,0,0
2_46,0,0
2_47,0,0
2_48,0,0
2_49,0,0
2_50,0,1
2_51,0,0
2_52,0,0
2_53,0,0
2_54,0,0
2_55,0,0
2_56,0,0
2_57,0,0
2_58,0,0
2_59,0,0
2_60,0,1
2_61,0,0
2_62,0,0
2_63,0,0
3_0,0,0
3_1,0,1
3_2,0,0
3_3,0,0
3_4,0,0
3_5,0,0
3_6,0,0
3_7,0,0
3_8,0,0
3_9,0,1
3_10,0,3
3_11,0,0
3_12,0,0
3_13,0,0
3_14,0,0
3_15,0,0
3_16,0,1
3_17,0,1
3_18,0,0
3_19,0,1
3_20,0,1
3_21,0,3
3_22,0,1
3_23,0,0
3_24,0,0
3_25,0,0
3_26,0,0
3_27,0,0
3_28,0,0
3_29,0,0
3_30,0,0
3_31,0,1
3_32,0,0
3_33,0,1
3_34,0,0
3_35,0,0
3_36,0,0
3_37,0,1
3_38,0,1
3_39,0,1
3_40,0,1
3_41,0,0
3_42,0,1
3_43,0,1
3_44,0,0
3_45,0,0
3_46,0,1
3_47,0,0
3_48,0,0
3_49,0,4
3_50,0,0
3_51,0,0
3_52,0,0
3_53,0,0
3_54,0,0
3_55,0,0
3_56,0,1
3_57,0,1
3_58,0,0
3_59,1,1
3_60,1,1
3_61,1,1
3_62,1,1
3_63,1,1
4_0,1,1
4_1,1,2
4_2,1,1
4_3,1,1
4_4,1,1
4_5,1,1
4_6,1,2
4_7,1,1
4_8,1,1
4_9,1,3
4_10,1,2
4_11,1,1
4_12,1,1
4_13,1,1
4_14,1,1
4_15,1,1
4_16,1,2
4_17,1,1
4_18,1,5
4_19,1,1
4_20,1,3
4_21,1,1
4_22,1,1
4_23,1,1
4_24,1,4
4_25,1,1
4_26,1,3
4_27,1,1
4_28,1,1
4_29,1,0
4_30,1,1
